id,amount,bank_country_code
dde3165e-a7e9-4dac-984b-4aa5f32a45e2,6.44,tr
95c6e393-e3dd-499e-b6bf-d075fc2abbc5,9.31,uk
f14819c0-145b-408b-8455-8a819ef7015a,15.21,ma
b6a33cda-1976-4240-87c4-98a0286a2a5e,31.96,cn
4d616894-cbb6-4906-a68d-81c1290cd211,6.45,ua
41f1ec17-2187-49f2-8c83-b3a15a0d58af,736.98,id
9182fe34-8ea9-4df6-8b8b-8a57e59b1913,2.11,es
be4cc3b6-aeb1-4236-9d92-bb575d93fef0,16.69,mx
0b65c506-08db-4935-b37b-1c1119306116,8.87,pl
1c1e86bc-5cea-40d0-9530-d0c9dc64b544,11.02,ky
ae6e569d-af17-428b-8f16-b2e2e04b0dd6,11.89,br
2890a24f-3168-4572-806d-29840ba9bddd,2.97,ch
a0d6b5be-d2e4-471a-abba-9b1028f76ecf,4.43,ng
42d5c8c6-cb9c-4365-a655-7ab0c09989bd,24.35,fi
b1c41b87-1498-4321-9fef-9a847aa7a0f4,4.99,sg
4e6623c6-1181-4ab9-968d-5e7dde41d99c,27.05,ca
2c6fdc35-5801-4bdd-90bd-fcb0d398c461,7.58,bh
933ae801-289b-4fd8-a148-184714702a5e,4.76,it
c7b0e68a-5707-4671-9d7e-9f9b7950f4b3,1.3,ca
af62e035-62a1-432d-aa2f-63b1f25adc7e,47.44,bh
6af3a1c4-e506-4a1d-ab54-2eb560854063,2.19,id
e5899112-af04-4562-a5b1-0fc6e836f35b,1.84,hk
bac8f367-33f3-4893-b945-86535a4bbb7d,38.32,ng
a58ef41f-4e9f-480b-8f0d-8f23f5fb9ebc,4.58,ma
9b227d8f-e774-495f-8cc7-5585bdc3e5dc,9.66,ae
94bd4b5f-2916-429d-92ff-c3c5e613c19e,5.14,ng
90046ccc-4d82-43f3-9de9-80e1838a884c,19.34,gi
92ac1b19-0470-4d72-9ea3-1ff364f95a9b,9.92,au
a1bfcb3b-e1af-4b3c-b3de-d9b58d94fea1,220.08,za
77336879-9e1e-4ba1-ba95-69bbaaa82998,5.2,ro
c828f9e0-1598-4de9-a15e-d3e3ca387208,76.21,ae
0a194d23-6ceb-4bfe-9b47-902f6148cb28,3.57,vn
09dd9173-938e-4fcf-90e2-755bc2e4d9c5,7.29,hk
7264b947-2d02-43e8-8009-46eea94de3b0,35.36,fi
9f4355c2-fe5b-4bb8-820d-1bd3bbb3d7a6,5.89,be
87106621-3485-4194-acad-c81b0c8a8d3a,24.02,ua
b69ed1d2-5b57-4f7b-b649-e5d60cd13857,427.1,ua
c151c752-88b9-4864-a717-dc191840e1ea,9.28,fj
7c0e7859-b22d-447c-b206-ff8259f302f9,13.97,za
44600f1e-f0eb-48fa-b075-80d8a7371f2b,1.96,gi
52d5538a-a79d-4420-a38b-43599b42a17d,92.92,ru
98f7ddb2-011f-46f9-a9bf-f347e35361c9,7.07,be
a2ef8ef8-c417-461f-9671-d76837d0855b,6.66,ar
eaad1b83-2f60-49f4-af63-5ae8e8ebd99c,32.44,fr
c80afbce-e9a0-4f1f-953f-89733d29af16,925.15,ar
31c69d0e-00cf-41de-8c1e-86c16edc6331,11.93,es
34865b3a-14f2-4439-bc71-94ee723e8e11,8.27,pl
633c9753-f19e-4252-93dd-49f8b7050335,9.34,nl
febd7677-96fd-4d84-8344-8daec0b4294f,1.58,ch
88b55e11-61cf-490f-b296-9c20eb847e66,8.43,hk
df340fdc-d0b4-4863-82f9-a7de1033a0f6,922.79,ie
bc971feb-5951-410a-a453-c6188809eefc,33.29,uk
5f2319a0-6295-4e30-8e21-48ed33ff494f,9.63,ro
345d65d8-891b-4ec2-852f-68c333d83589,8.2,es
5edf5fa2-ad3b-49a0-826a-d2130f2632b6,7.31,be
9a1270d1-c082-4d3b-b1fd-4717c5c96684,1.04,fi
3507ad12-96b7-4073-a40a-e52ebe606291,9.44,ca
c8a988b7-6172-4074-a6dc-50ca9b39134a,1.69,ro
a4bc2f42-02ab-45bb-9a33-ec96ee9b93ca,4.13,gr
df1aecf9-1963-46c0-afcc-6ccdea8a2c3d,9.71,au
35f9520d-1799-40ca-ae38-9ab5e651a0f4,8.82,sa
88768cb7-ac50-48aa-90bf-97e609994948,16.78,bh
